OxySoft export of:	C:\Artinis NIRS\NIRS Data\LIGHTSHIELD013_ONOFF_06_29_23
Export date:	2023/07/26 10:08:57
Start of measurement:	2023-06-29 14:12:18.024

Datafile sample rate:	10.00	Hz
Datafile duration:	2643.600	s
Datafile total number of samples:	26436

Description:	

Optode-template:	PortaMon TSI
Optode distance (mm):	 32.50
Optode gradients (mm):	 5.00
DPF:	4.00

Device id:	1328
# Receivers:	1
# Light sources:	6
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	758	nm
1	2	853	nm
1	3	758	nm
1	4	853	nm
1	5	757	nm
1	6	852	nm

Export sample rate:	10.00	Hz
Selected time span:	0	2643.600
Selected time span (sample numbers):	0	26436


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
3	Rx1-Tx1 HHb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
4	Rx1-Tx2 O2Hb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
5	Rx1-Tx2 HHb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
6	Rx1-Tx3 O2Hb (LIGHTSHIELD013_ONOFF_06_29_23)
7	Rx1-Tx3 HHb (LIGHTSHIELD013_ONOFF_06_29_23)
8	Rx1-Tx1,Tx2 TSI% (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
9	Rx1-Tx1,Tx2 TSI Fit Factor (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
10	(Event)


1	2	3	4	5	6	7	8	9	10
   157	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   158	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   159	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   160	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   161	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   162	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   163	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   164	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   165	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   166	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   167	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   168	 0.0000	 0.0000	-0.0000	 0.0000	-39.3663	-9.6320	 0.0000	100.0000	
   169	 0.0265	 0.4588	 0.4236	 0.6869	-39.3663	-9.6320	 2.2420	100.0000	
   170	 0.0759	 1.6914	 0.9944	 1.7008	-39.3663	-9.6320	 7.7616	100.0000	
   171	 0.1818	 2.8874	 1.5291	 2.7487	-39.3663	-9.6320	12.2352	100.0000	
   172	 0.3236	 4.1269	 2.0478	 3.8116	-39.3663	-9.6320	16.6277	100.0000	
   173	 0.4243	 5.3801	 2.5322	 4.8938	-39.3663	-9.6320	20.9536	100.0000	
   174	 0.4996	 6.6217	 3.0012	 5.9552	-39.3663	-9.6320	25.4276	100.0000	
   175	 0.5587	 7.8575	 3.4532	 7.0071	-39.3663	-9.6320	29.9289	100.0000	
   176	 0.6023	 9.0863	 3.8870	 8.0498	-39.3663	-9.6320	34.4306	100.0000	
   177	 0.6328	10.3067	 4.3095	 9.0839	-39.3663	-9.6320	38.9462	100.0000	
   178	 0.6558	11.5223	 4.7222	10.1143	-39.3663	-9.6320	43.4343	100.0000	
   179	 0.6731	12.7341	 5.1313	11.1411	-39.3663	-9.6320	47.9361	100.0000	
   180	 0.6886	13.9433	 5.5416	12.1660	-39.3663	-9.6320	52.4517	100.0000	
   181	 0.7016	15.1508	 5.9526	13.1900	-39.3663	-9.6320	56.9807	100.0000	
   182	 0.7152	16.3557	 6.3656	14.2140	-39.3663	-9.6320	61.4957	100.0000	
   183	 0.7314	17.5621	 6.7821	15.2402	-39.3663	-9.6320	66.0106	100.0000	
   184	 0.7228	18.3125	 6.7785	15.5805	-39.3663	-9.6320	68.3106	100.0000	
   185	 0.6928	18.2884	 6.6271	15.5947	-39.3663	-9.6320	67.3059	100.0000	
   186	 0.6047	18.3015	 6.5103	15.5753	-39.3663	-9.6320	67.3471	100.0000	
   187	 0.4784	18.2713	 6.4083	15.5400	-39.3663	-9.6320	67.4832	100.0000	
   188	 0.3917	18.2261	 6.3391	15.4847	-39.3663	-9.6320	67.6858	100.0000	
   189	 0.3262	18.1932	 6.2846	15.4495	-39.3663	-9.6320	67.7672	100.0000	
   190	 0.2770	18.1661	 6.2464	15.4248	-39.3663	-9.6320	67.8078	100.0000	
   191	 0.2408	18.1442	 6.2210	15.4084	-39.3663	-9.6320	67.8211	100.0000	
   192	 0.2000	18.1241	 6.1555	15.3474	-39.3663	-9.6320	68.1048	100.0000	
   193	 0.1947	18.1144	 6.0575	15.2548	-39.3663	-9.6320	68.4530	100.0000	
   194	 0.1898	18.0864	 5.9097	15.1353	-39.3663	-9.6320	68.5149	100.0000	
   195	 0.1842	18.0719	 5.7235	14.9991	-39.3663	-9.6320	68.6860	100.0000	
